KML2x Export:
Units: UTM(meters), Zone 10
Datum: WGS84

id XCoo YCoo Elevation
RDN_Reaches vertex: 74
372184.17574944487 5480895.850874567 0
373061.59037400596 5479846.777818248 0
373980.2929663339 5479611.319780717 0
374464.9803841099 5480077.904447838 0
375084.40373547596 5480777.192326301 0
374172.1619139151 5480690.073632386 0
375117.1316559768 5481019.362227501 0
375402.88555924204 5479811.7627202235 0
376083.0277811334 5479639.27397721 0
377021.24424542364 5478914.771369943 0
377867.5323138582 5478765.302859258 0
378879.0163783137 5477464.773855025 0
379317.6525616965 5477245.45714635 0
379979.8623315832 5476261.240648023 0
381004.2823731053 5475750.412661109 0
381725.0272253396 5473757.118289138 0
383113.3055281915 5473393.3230421925 0
383715.5890594539 5472457.938873681 0
384934.2619243304 5471625.632951759 0
385769.33521059644 5470960.341635607 0
387511.0636674397 5470696.236627537 0
389213.6116249559 5470119.913207016 0
390289.5030155317 5469367.398552613 0
392207.1985380885 5469459.281371468 0
393908.5759985612 5467830.839466294 0
397227.6299488875 5468489.089166492 0
399410.2971288581 5467818.420840221 0
401243.30151006515 5467730.4602447795 0
401497.00125377334 5466817.557247878 0
402843.14535567194 5466141.926243208 0
403504.2515620883 5465345.997450356 0
404045.56292195595 5464285.265095301 0
404679.1488058211 5464368.36873255 0
405041.9820916051 5464804.658773631 0
405865.87269091967 5464985.443556339 0
406264.9358294579 5465171.031951729 0
406793.59725842974 5465128.29780813 0
408105.1088086895 5464377.291920242 0
408318.1180573274 5462805.989988663 0
409253.4053364052 5462070.539030253 0
409977.8418481431 5462426.746935169 0
409655.71472775564 5463108.916584976 0
411137.3410128077 5461632.810635382 0
411391.93457935966 5461917.223369806 0
411782.7625836344 5461745.930074997 0
412086.9686324773 5461253.6896290295 0
412197.1053353734 5460872.446716558 0
412838.0080582699 5460974.251879509 0
412838.03240957955 5461622.982985813 0
412566.47557618195 5461828.907238531 0
411716.8982260168 5462991.423631742 0
411964.1071933751 5463258.712870686 0
413201.3561313491 5462013.848240537 0
413577.3823255881 5462416.458634137 0
413517.2610519151 5462939.362622067 0
414290.7862228027 5462339.422012458 0
414923.1714670369 5461596.7245137 0
415657.74586236983 5460381.239163676 0
416703.90561213164 5460704.926320098 0
417574.38958192535 5460152.300930796 0
417665.25573016994 5459816.482725248 0
418040.1434678901 5459374.513201049 0
418525.3119457737 5459105.405829714 0
418516.10906753043 5458806.061400178 0
418719.3801152237 5458793.343231736 0
418692.92664327694 5458274.9966715 0
419640.77172750223 5458161.691571178 0
418479.30255328445 5457891.277060547 0
418471.2546376411 5457651.519147548 0
416649.1448328608 5457572.117074315 0
414102.65945690736 5458092.624451924 0
413562.91965940903 5457163.996431915 0
414929.21952242026 5456306.143313307 0
418054.3617093548 5456372.143591656 0
